1,20,1,0,611127
1,20,2,0,648695
1,20,3,0,648439
1,20,4,0,660655
1,20,5,0,677778
1,20,6,0,608163
1,20,7,0,541675
1,20,8,1,514860
1,20,9,2,506051
1,20,10,2,507448
1,20,11,1,499502
1,20,12,9,440320
1,20,13,7,343997
1,20,14,6,250321
1,20,15,3,153677
1,20,16,0,91698
1,20,17,0,50022
1,20,18,1,35246
1,20,19,0,0
2,20,1,0,595596
2,20,2,0,632515
2,20,3,0,636578
2,20,4,0,654622
2,20,5,0,691198
2,20,6,0,661476
2,20,7,1,634507
2,20,8,0,627451
2,20,9,0,620220
2,20,10,0,606394
2,20,11,2,598788
2,20,12,1,533957
2,20,13,1,443526
2,20,14,2,336347
2,20,15,1,216867
2,20,16,1,143748
2,20,17,1,96106
2,20,18,0,97657
2,20,19,0,0
1,21,1,0,611127
1,21,2,0,648695
1,21,3,0,648439
1,21,4,0,660655
1,21,5,0,677778
1,21,6,1,608163
1,21,7,2,541675
1,21,8,4,514860
1,21,9,4,506051
1,21,10,15,507448
1,21,11,35,499502
1,21,12,86,440320
1,21,13,103,343997
1,21,14,92,250321
1,21,15,48,153677
1,21,16,40,91698
1,21,17,18,50022
1,21,18,12,35246
1,21,19,0,0
2,21,1,0,595596
2,21,2,0,632515
2,21,3,0,636578
2,21,4,0,654622
2,21,5,0,691198
2,21,6,1,661476
2,21,7,1,634507
2,21,8,0,627451
2,21,9,1,620220
2,21,10,4,606394
2,21,11,17,598788
2,21,12,33,533957
2,21,13,32,443526
2,21,14,29,336347
2,21,15,12,216867
2,21,16,10,143748
2,21,17,9,96106
2,21,18,10,97657
2,21,19,0,0
1,22,1,0,611127
1,22,2,0,648695
1,22,3,0,648439
1,22,4,0,660655
1,22,5,0,677778
1,22,6,0,608163
1,22,7,1,541675
1,22,8,4,514860
1,22,9,1,506051
1,22,10,9,507448
1,22,11,29,499502
1,22,12,65,440320
1,22,13,80,343997
1,22,14,69,250321
1,22,15,28,153677
1,22,16,26,91698
1,22,17,14,50022
1,22,18,7,35246
1,22,19,0,0
2,22,1,0,595596
2,22,2,0,632515
2,22,3,0,636578
2,22,4,0,654622
2,22,5,0,691198
2,22,6,0,661476
2,22,7,0,634507
2,22,8,0,627451
2,22,9,0,620220
2,22,10,3,606394
2,22,11,15,598788
2,22,12,29,533957
2,22,13,27,443526
2,22,14,25,336347
2,22,15,10,216867
2,22,16,7,143748
2,22,17,7,96106
2,22,18,4,97657
2,22,19,0,0
1,23,1,0,611127
1,23,2,0,648695
1,23,3,0,648439
1,23,4,0,660655
1,23,5,0,677778
1,23,6,1,608163
1,23,7,1,541675
1,23,8,0,514860
1,23,9,3,506051
1,23,10,3,507448
1,23,11,4,499502
1,23,12,15,440320
1,23,13,16,343997
1,23,14,12,250321
1,23,15,10,153677
1,23,16,6,91698
1,23,17,4,50022
1,23,18,3,35246
1,23,19,0,0
2,23,1,0,595596
2,23,2,0,632515
2,23,3,0,636578
2,23,4,0,654622
2,23,5,0,691198
2,23,6,0,661476
2,23,7,1,634507
2,23,8,0,627451
2,23,9,1,620220
2,23,10,1,606394
2,23,11,2,598788
2,23,12,3,533957
2,23,13,4,443526
